key,dataset,n,auroc,auprc,brier,ece,sens@0.5,spec@0.5,sens@spec90
ptbxl_internal_logreg,PTB-XL internal (logreg),706,0.9609767468029868,0.9444272679342721,0.07592451282593132,0.027086323082114373,0.9351032448377581,0.8692098092643051,0.9026548672566371
cinc2017_external_from_logreg,CinC2017 external (trained on PTB-XL/logreg),2537,0.7991578678840354,0.6237856023959963,0.5753584644539684,0.6034054861691918,0.9828496042216359,0.1045531197301855,0.44327176781002636
cinc2017_external_strict_logreg,CinC2017 external AF-vs-N only (trained on PTB-XL/logreg),1758,0.8397018469656992,0.8110094001134662,0.46446162341437175,0.48761028506660875,0.9828496042216359,0.095,0.633245382585752
cinc2017_internal_5fold,CinC2017 internal 5-fold (in-domain reference),2537,0.9521298764091771,0.9142045315663266,0.08442667159014229,0.06995818293587382,0.7941952506596306,0.9432265317594154,0.8614775725593667
ptbxl_internal_hgb,PTB-XL internal (hgb),706,0.9752598201152612,0.9744047081024321,0.07705221988808995,0.07544616119266262,0.9616519174041298,0.8692098092643051,0.9380530973451328
cinc2017_external_from_hgb,CinC2017 external (trained on PTB-XL/hgb),2537,0.8735441036661966,0.6978041492544537,0.21831764843616494,0.22386572111667374,0.9274406332453826,0.6908375491849353,0.4947229551451187
cinc2017_external_strict_hgb,CinC2017 external AF-vs-N only (trained on PTB-XL/hgb),1758,0.9417262532981531,0.9100222957785508,0.10888938588828789,0.10382895791431436,0.9274406332453826,0.839,0.8588390501319261
cpsc2021_external_logreg,"CPSC2021 external (China, trained on PTB-XL/logreg)",583,0.9164545025931164,0.8616690472415475,0.45192637592994817,0.47599907114299517,0.9964285714285714,0.0462046204620462,0.7107142857142857
cpsc2021_external_hgb,"CPSC2021 external (China, trained on PTB-XL/hgb)",583,0.9363861386138614,0.9031827865551336,0.130855203722521,0.14367588898021794,0.9964285714285714,0.7095709570957096,0.7821428571428571
cpsc2021_internal_5fold,CPSC2021 in-domain 5-fold (grouped by patient),583,0.9232319660537482,0.9168582436377022,0.13565722012491735,0.12624984741144035,0.8928571428571429,0.8118811881188119,0.7857142857142857
