key,dataset,n,auroc,auprc,brier,ece,sens@0.5,spec@0.5,sens@spec90
ptbxl_internal_logreg,PTB-XL internal (logreg),736,0.9584974093264248,0.9398733567616588,0.07038948131027416,0.01731447091515781,0.9326424870466321,0.8742857142857143,0.9015544041450777
cinc2017_external_from_logreg,CinC2017 external (trained on PTB-XL/logreg),2537,0.8304893947416427,0.6773868644699912,0.4969121630129247,0.5411787195532384,0.9762532981530343,0.18156267566048342,0.5382585751978892
cinc2017_external_strict_logreg,CinC2017 external AF-vs-N only (trained on PTB-XL/logreg),1758,0.8632875989445911,0.8377237008949113,0.39077122571697587,0.42784858908000434,0.9762532981530343,0.188,0.6464379947229552
cinc2017_internal_5fold,CinC2017 internal 5-fold (in-domain reference),2537,0.9521313595583775,0.9104566385189045,0.08668613364231091,0.07024050726717729,0.7915567282321899,0.9426644182124789,0.8469656992084432
ptbxl_internal_hgb,PTB-XL internal (hgb),736,0.9742931162102146,0.9737190089720799,0.0643682594429487,0.05979865829018245,0.9481865284974094,0.9057142857142857,0.9507772020725389
cinc2017_external_from_hgb,CinC2017 external (trained on PTB-XL/hgb),2537,0.8932792577134882,0.756274771247018,0.1907280863488577,0.19185281305542926,0.9155672823218998,0.730185497470489,0.6385224274406333
cinc2017_external_strict_hgb,CinC2017 external AF-vs-N only (trained on PTB-XL/hgb),1758,0.9453970976253299,0.9182318265727336,0.091476351957907,0.08047418930724082,0.9155672823218998,0.883,0.8918205804749341
cpsc2021_external_logreg,"CPSC2021 external (China, trained on PTB-XL/logreg)",583,0.9393092880716643,0.9217511726724877,0.39583868429624575,0.439098567138906,0.9964285714285714,0.09900990099009901,0.7642857142857142
cpsc2021_external_hgb,"CPSC2021 external (China, trained on PTB-XL/hgb)",583,0.9547147571900048,0.9221006927759896,0.09927927810216017,0.10346718860937153,0.9928571428571429,0.7854785478547854,0.8785714285714286
cpsc2021_internal_5fold,CPSC2021 in-domain 5-fold (grouped by patient),583,0.9232319660537482,0.9168582436377022,0.13565722012491735,0.12624984741144035,0.8928571428571429,0.8118811881188119,0.7857142857142857
